names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country,year,imdb
Winnie the Pooh: Blood and Honey,2023-02-14,58.0,"Horror,Thriller","Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.","Alice,AmberDoig-Thorne,Charlene,ChrisCordell,ChristopherRobin,CraigDavidDowsett,DanielleRonald,DanielleScott,Lara,Maria,MariaTaylor,MayKelly,NatashaTosini,NikolaiLeon,Piglet,PoohBear,Tina,Zoe",Winnie the Pooh: Blood and Honey,Released,English,100000.0,3200000.0,AU,2023,5.8
The Exorcist,2022-11-02,55.0,Horror,"Ophelia, a young nun recently arriving in the town of San Ramon, is forced to perform an exorcism on a pregnant woman in danger of dying. Just when she thinks her possession has ended, she discovers that the evil presence hasn't disappeared yet. The director of the award-winning Here Comes the Devil and Late Phases adds a new twist to possession movies in one of this year's Latin American horror surprises.",",DianaBracho,Fabian,Julia,JulioBracho,MaríaEvoli,NormaLazareno,Ofelia,PadreVictor,PilarSantacruz,RamónMedína,SalvadorSánchez,Sandra,SeñorRamirez,SeñoraRamirez,TinaRomero", La Exorcista,Released,"Spanish,Castilian",12000000.0,428214478.0,MX,2022,5.5
Murder Mystery 2,2023-03-31,65.0,"Comedy,Mystery,Action","After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.","AdamSandler,AdeelAkhtar,Audrey,Claudette,ColonelUlenga,CountessSekou,DanyBoon,InspectorDelacroix,JenniferAniston,JodieTurner-Smith,JohnKani,KuhooVerma,MarkStrong,Miller,MélanieLaurent,Nick,Saira,TheMaharajah",Murder Mystery 2,Released,English,43800000.0,489543087.4,AU,2023,6.5
Black Panther: Wakanda Forever,2022-11-10,73.0,"Action,Adventure,Science Fiction","Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.","Aneka,AngelaBassett,Ayo,DanaiGurira,DominiqueThorne,FlorenceKasumba,LetitiaWright,LupitaNyong'o,M'Baku,MichaelaCoel,Nakia,Namor,Okoye,Ramonda,RiriWilliams/Ironheart,Shuri/BlackPanther,TenochHuertaMejía,WinstonDuke",Black Panther: Wakanda Forever,Released,English,250000000.0,854041058.0,AU,2022,7.3
The Pope's Exorcist,2023-04-06,72.0,"Horror,Mystery","Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.","AlexEssoe,Amy,BishopBarbuto,BishopLumumba,CornellJohn,DanielZovatto,Demon(voice),Enzo,FatherEsquibel,FatherGabrieleAmorth,FrancoNero,Julia,LaurelMarsden,PabloRaybould,RalphIneson,RiverHawkins,RussellCrowe,ThePope",The Pope's Exorcist,Released,English,92000000.0,462216471.8,AU,2023,7.2
Prizefighter: The Life of Jem Belcher,2022-07-22,62.0,"Drama,History","At the turn of the 19th century, Pugilism was the sport of kings and a gifted young boxer fought his way to becoming champion of England.","BillWarr,JackSlack,JemBelcher,JodhiMay,JulianGlover,LordAshford,LordRushworth,MartonCsokas,MaryBelcher,MattHookings,RayWinstone,RussellCrowe,StevenBerkoff,Walter",Prizefighter: The Life of Jem Belcher,Released,English,77600000.0,562112551.0,GB,2022,6.2
Knock at the Cabin,2023-02-02,64.0,"Thriller,Mystery,Horror,Fantasy","While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.","AbbyQuinn,Adriane,Andrew,Andrew'sMom,BenAldridge,ClareLouiseFrost,DaveBautista,Eric,InfomercialCo-Host,JonathanGroff,KristenCui,Leonard,McKennaKerrigan,NikkiAmuka-Bird,Redmond,RupertGrint,Sabrina,Wen",Knock at the Cabin,Released,English,20000000.0,54629497.0,AU,2023,6.4
The Devil Conspiracy,2023-01-13,65.0,"Horror,Thriller","The hottest biotech company in the world has discovered they can clone history’s most influential people from the dead. Now, they are auctioning clones of Michelangelo, Galileo, Vivaldi, and others for tens of millions of dollars to the world’s ultra-rich. But when they steal the Shroud of Turin and clone the DNA of Jesus Christ, all hell breaks loose.","AliceOrr-Ewing,ArchangelMichael,BeastoftheGround,Brenda,BrianCaspe,CardinalVincini,Dr.Laurent,EvelineHall,FatherMarconi/Michael,JamesFaulkner,JoeAnderson,JoeDoyle,Laura,Liz,Lucifer,PeterMensah,SpencerWilding,VictoriaChilap",The Devil Conspiracy,Released,English,54060000.0,492646395.4,US,2023,6.5
Cazadora,2023-01-19,57.0,Thriller,"In a dystopian future, a mother and her teenage son go hunting in the mountains and encounter a stranger who threatens to upend their relationship.","AlexandraVonHummel,Emilia,FelipeValenzuela,Mateo,NataliaReddersen,Rena,Salvador,WillySemler",Cazadora,Released,"Spanish,Castilian",110400000.0,318117812.6,CL,2023,5.7
Gold Run,2022-12-15,65.0,"War,Action,Adventure,Thriller","Fredrik isn’t the bravest of men, but now he is faced with a great responsibility and an enormous task - to get the entire Norwegian gold reserve away from the Nazis during the invasion of Norway.","AnatoleTaubman,AndreasLund,AxelBøyum,EivindSander,FredrikHaslund,GardB.Eidsvold,IdaEliseBroch,Ingvar,JonØigarden,MajorBjørnSunde,MajorOttoStoltmann,MortenSvartveit,NiniHaslundGleditsch,NordahlGrieg,OddHenry,OscarTorp,SvenNordin,ThorbjørnHarr", Gulltransporten,Released,Norwegian,123500000.0,420430064.8,NO,2022,6.5
