names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country,year,imdb
Angel Has Fallen,2019-08-22,65.0,"Action,Thriller","After a treacherous attack, Secret Service agent Mike Banning is charged with attempting to assassinate President Trumbull. Chased by his own colleagues and the FBI, Banning begins a race against the clock to clear his name.","AgentThompson,AlanTrumbull,ClayBanning,DannyHuston,DavidGentry,FrederickSchmidt,GerardButler,JadaPinkettSmith,LanceReddick,MichaelLandes,MikeBanning,MorganFreeman,NickNolte,SamWilcox,TimBlakeNelson,TravisCole,VPKirby,WadeJennings",Angel Has Fallen,Released,English,40000000.0,133345583.0,AU,2019,6.5
Addams Family Values,1993-11-25,70.0,"Comedy,Family,Fantasy","Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.","AnjelicaHuston,CarolKane,ChristinaRicci,ChristopherLloyd,DebbieJellinsky,GomezAddams,Granny,JimmyWorkman,JoanCusack,KaitlynHooper,KristenHooper,MorticiaAddams,PubertAddams,PugsleyAddams,RaúlJuliá,UncleFesterAddams,WednesdayAddams",Addams Family Values,Released,English,47000000.0,46293855.0,AU,1993,7.0
Titanic 666,2022-04-15,61.0,"Thriller,Horror","After a mammoth cruise ship sails over the site of the Titanic’s disaster, dark and deadly events start to occur on board. As the ship’s captain investigates the tragic occurrences, it becomes clear that the passengers and crew from the original Titanic have returned.","AnnaLynneMcCord,BrianAndrews,Capt.CelesteRhoades,DerekYates,IdinaBess,JacksonStone,JamieBamber,JheyCastles,JosephGatt,Julie,KeeshaSharp,KendallChappell,LydiaHearst,MiaStone,MichaelJ.Chen,Parker,Prof.HalCochran,Regina",Titanic 666,Released,English,107000000.0,247575382.6,US,2022,6.1
Clash of the Titans,2010-08-10,59.0,"Adventure,Fantasy,Action","Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.","AlexaDavalos,Andromeda,Calibos/Acrisius,Cassiopeia,Draco,GemmaArterton,Hades,Io,JasonFlemyng,LiamNeeson,MadsMikkelsen,Perseus,PetePostlethwaite,PollyWalker,RalphFiennes,SamWorthington,Spyros,Zeus",Clash of the Titans,Released,English,125000000.0,493214888.0,AU,2010,5.9
All My Friends Hate Me,2022-06-10,61.0,"Comedy,Thriller,Horror","Genuine but increasingly insecure Pete is cautiously excited about reuniting with his college crew for a birthday weekend of memories, partying and earnest reconnection at a picturesque English manor. Best laid plans, dear audience.","AntoniaClarke,Archie,CharlyClive,ChristopherFairbank,Claire,DustinDemri-Burns,Fig,George,GeorginaCampbell,Graham,GrahamDickson,Harry,JoshuaMcGuire,KieranHodgson,Norman,Pete,Sonia,TomStourton",All My Friends Hate Me,Released,English,98600000.0,286173694.4,GB,2022,6.1
Aquaman,2018-12-26,69.0,"Action,Adventure,Fantasy","Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.","AmberHeard,ArthurCurry/Aquaman,Atlanna,CaptainMurk,DavidKane/BlackManta,DolphLundgren,JasonMomoa,KingNereus,KingOrmMarius/OceanMaster,LudiLin,Mera,NicoleKidman,NuidisVulko,PatrickWilson,TemueraMorrison,ThomasCurry,WillemDafoe,YahyaAbdul-MateenII",Aquaman,Released,English,160000000.0,1143758700.0,AU,2018,6.9
The Young Messiah,2016-03-11,65.0,"Drama,History","Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.","AdamGreaves-Neal,DoroteaMercuri,Eleazer'sFather,Eleazer'sMother,Herod,IsabelleAdriani,JarrethJ.Merz,Jesus,JonathanBailey,Joseph,Mary,RoryKeenan,SaraLazzaro,SeanBean,Seleni,Severus,TheDemon,VincentWalsh",The Young Messiah,Released,English,16800000.0,7313697.0,US,2016,6.5
Wonder Woman,2017-06-01,72.0,"Action,Adventure,Fantasy",An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,"Antiope,Charlie,ChrisPine,ConnieNielsen,DannyHuston,DavidThewlis,DianaPrince/WonderWoman,EugeneBraveRock,EwenBremner,GalGadot,Hippolyta,Ludendorff,RobinWright,Sameer,SaïdTaghmaoui,SirPatrick/Ares,SteveTrevor,TheChief",Wonder Woman,Released,English,150000000.0,817691766.0,AU,2017,7.2
The Immaculate Room,2022-11-01,56.0,"Mystery,Thriller,Drama,Science Fiction","Mike and Kate, a young couple, get the once-in-a lifetime chance to win a cool five million dollars. The challenge: Live for 50 days in a blank space. Sticking it out for thirty days, and the five million are theirs. How difficult can it be?","AlexSgambati,AshleyGreene,EmileHirsch,Kate,Kate'sFather,KateBosworth,M.EmmetWalsh,Michael,Michael'sSister,Simone",The Immaculate Room,Released,English,109200000.0,260090578.4,AU,2022,5.6
Big Daddy,1999-09-16,65.0,"Comedy,Drama","A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.","AdamSandler,AllenCovert,ArthurBrooks,ColeSprouse,CorinneMaloney,DeliveryGuy,DylanSprouse,JoeyLaurenAdams,JonStewart,JoshMostel,JulianMcGrath,KevinGerrity,LaylaMaloney,LeslieMann,PhilD'Amato,RobSchneider,SonnyKoufax",Big Daddy,Released,English,30000000.0,228641283.0,AU,1999,6.5
Insidious,2011-05-12,69.0,"Horror,Thriller","A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.","AndrewAstor,AngusSampson,BarbaraHershey,CorbettTuck,DaltonLambert,EliseRainier,FosterLambert,JoshLambert,LeighWhannell,LinShaye,LorraineLambert,NurseAdele/DollGirl#2,PatrickWilson,RenaiLambert,RoseByrne,Specs,Tucker,TySimpkins",Insidious,Released,English,1500000.0,99870886.0,AU,2011,6.9
Rush Hour 3,2007-10-10,64.0,"Action,Comedy,Crime","After a botched assassination attempt, the mismatched duo finds themselves in Paris, struggling to retrieve a precious list of names, as the murderous crime syndicate's henchmen try their best to stop them. Once more, Lee and Carter must fight their way through dangerous gangsters; however, this time, the past has come back to haunt Lee. Will the boys get the job done once and for all?","Capt.WilliamDiel,ChrisTucker,Det.Revi,Genevieve,George,HiroyukiSanada,JackieChan,JamesCarter,Kenji,MaxvonSydow,NoémieLenoir,PhilipBakerHall,RomanPolanski,SooYung,VardenReynard,YanNaingLee,YvanAttal,ZhangJingchu",Rush Hour 3,Released,English,180000000.0,256585882.0,AU,2007,6.4
Once Upon a Snowman,2020-10-23,69.0,"Animation,Family,Comedy,Fantasy","The previously untold origins of Olaf, the innocent and insightful, summer-loving snowman are revealed as we follow Olaf’s first steps as he comes to life and searches for his identity in the snowy mountains outside Arendelle.","Anna(voice-archival),ChrisWilliams,Elsa(voice-archival),EvaBella,IdinaMenzel,JonathanGroff,JoshGad,KristenBell,Kristoff(voice-archival),LivvyStubenrauch,Oaken(voice),Olaf(voice),YoungAnna(voice-archival),YoungElsa(voice-archival)",Once Upon a Snowman,Released,English,116600000.0,487532814.4,AU,2020,6.9
Baby Driver,2017-08-10,75.0,"Action,Crime","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","AnselElgort,CJJones,Debora,Doc,Eddie""No-Nose"",EizaGonzález,Flea,Griff,JamieFoxx,Jason""Buddy""VanHorn,JonBernthal,JonHamm,Joseph,KevinSpacey,Leon""Bats""JeffersonIII,LilyJames,Miles""Baby"",Monica""Darling""Castello",Baby Driver,Released,English,34000000.0,226977991.0,AU,2017,7.5
Kong: Skull Island,2017-03-10,65.0,"Action,Adventure,Fantasy","Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.","BillRanda,BrieLarson,CaptainJamesConrad,CoreyHawkins,GlennMills,HoustonBrooks,JasonMitchell,JingTian,JohnGoodman,JohnOrtiz,LieutenantColonelPrestonPackard,Maj.JackChapman/KongMo-CapServices,MasonWeaver,SamuelL.Jackson,SanLin,TobyKebbell,TomHiddleston,VictorNieves",Kong: Skull Island,Released,English,185000000.0,561072059.0,AU,2017,6.5
Descendants,2015-08-01,71.0,"Family,Music,Adventure,Comedy,Fantasy,TV Movie","A present-day idyllic kingdom where the benevolent teenage son of King Adam and Queen Belle offers a chance of redemption for the troublemaking offspring of Disney's classic villains: Cruella De Vil (Carlos), Maleficent (Mal), the Evil Queen (Evie) and Jafar (Jay).","Audrey,Ben,BoobooStewart,BrennaD'Amico,CameronBoyce,Carlos,Doug,DoveCameron,Evie,FairyGodmother,Jane,Jay,Mal,MelaniePaxson,MitchellHope,SarahJeffery,SofiaCarson,ZacharyGibson",Descendants,Released,English,124200000.0,464769609.6,AU,2015,7.1
Home Alone 2: Lost in New York,1992-12-10,67.0,"Comedy,Family,Adventure","Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.","BuzzMcCallister,CatherineO'Hara,DanielStern,DevinRatray,HarryLyme,HillaryWolf,JeffMcCallister,JoePesci,JohnHeard,KateMcCallister,KevinMcCallister,LinnieMcCallister,MacaulayCulkin,MarvMurchins,MaureenElisabethShay,MeganMcCallister,MichaelC.Maronna,PeterMcCallister",Home Alone 2: Lost in New York,Released,English,20000000.0,358994850.0,AU,1992,6.7
Lagaslas,2023-02-17,20.0,Drama,"A wild and wet erotic drama thriller starring newest sexy actress Manang Medina. A young man named Edmar falls madly in love with Karisma, a barrio lass. Will he still love her if he finds out Karisma's deepest darkest secret?",",JulioDiaz,ManangMedina,RubyRubi,VRVelosa",Lagaslas,Released,Tagalog,12001040.0,38139010.0,PH,2023,2.0
Scouts Guide to the Zombie Apocalypse,2015-10-30,65.0,"Comedy,Horror","Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.","AugieFoster,BenGoudy,BlakeAnderson,CarterGrant,ClorisLeachman,CorporalReeves,DavidKoechner,DeniseRusso,HalstonSage,HiramA.Murray,JoeyMorgan,KendallGrant,LoganMiller,MissFielder,RontheJanitor,SarahDumont,ScoutLeaderRogers,TyeSheridan",Scouts Guide to the Zombie Apocalypse,Released,English,15000000.0,15554855.0,US,2015,6.5
I Want You,2012-06-22,74.0,"Drama,Romance","The sexy Gin is the new love of Hache, but this can not forget his former girlfriend, so the love triangle is inevitable.","Alejandro,Babi,Chico,ClaraLago,CristinaPlazas,Daniela,DiegoMartín,Gin,Hache,Katina,MarcelBorràs,MarinaSalas,MarioCasas,MaríaValverde,NereaCamacho,Pollo,Rafaella,ÁlvaroCervantes", Tengo ganas de ti,Released,"Spanish,Castilian",85000000.0,645835675.2,ES,2012,7.4
Five Feet Apart,2019-03-28,83.0,"Romance,Drama","Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.","ClaireForlani,ColeSprouse,Doctor,Dr.NoorHamid,EmilyBaldoni,GaryWeeks,HaleyLuRichardson,Julie,KimberlyHebertGregory,Meredith,MoisésArias,NurseBarb,ParminderNagra,PoeRamírez,RebeccaChulew,StellaGrant,Tom,WillNewman",Five Feet Apart,Released,English,7000000.0,92554209.0,AU,2019,8.3
Carriers,2009-09-04,61.0,"Action,Drama,Horror,Science Fiction,Thriller","A deadly virus has spread across the globe. Contagion is everywhere, no one is safe, and no one can be trusted. Four friends race through the back roads of the American West on their way to a secluded utopian beach in the Gulf of Mexico where they could peacefully wait out the pandemic. Their plans take a grim turn when their car breaks down on an isolated road starting a chain of events that will seal their fates.","Bobby,BrianGreen,ChrisPine,ChristopherMeloni,DannyGreen,Doctor,EmilyVanCamp,FrankHolloway,JodieHolloway,JoshBerry,Kate,KiernanShipka,LouTaylorPucci,MarkMoses,PiperPerabo,Preacher,RonMcClary,Survivalist",Carriers,Released,English,10880000.0,5802422.0,US,2009,6.1
The Town,2010-10-14,72.0,"Crime,Drama,Thriller","Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.","Albert""Gloansy""Magloan,BenAffleck,BlakeLively,ClaireKeesey,DesmondElden,DinoCiampa,DougMacRay,FBIS.A.AdamFrawley,Fergus""Fergie""Colm,JamesCoughlin,JeremyRenner,JonHamm,KristaCoughlin,OwenBurke,PetePostlethwaite,RebeccaHall,Slaine,TitusWelliver",The Town,Released,English,37000000.0,152566881.0,AU,2010,7.2
Mortal Kombat Legends: Battle of the Realms,2021-08-30,78.0,"Animation,Action,Fantasy","The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.","BayardoDeMurguia,DaveB.Mitchell,EmilyO'Brien,FredTatasciore,Jade/Mother(voice),JenniferCarpenter,JoelMcHale,JohnnyCage(voice),JordanRodrigues,LiuKang(voice),MatthewMercer,PatrickSeitz,Raiden/Kintaro/Sektor(voice),Scorpion(voice),ShaoKahn(voice),Smoke/Stryker(voice),SonyaBlade(voice),Sub-Zero/KuaiLiang(voice)",Mortal Kombat Legends: Battle of the Realms,Released,English,116000000.0,788968355.6,AU,2021,7.8
Troy,2004-05-13,71.0,"Adventure,History,War,Action","In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.","Achilles,BradPitt,BrendanGleeson,BrianCox,Briseis,DianeKruger,EricBana,Hector,Helen,KingAgamemnon,Menelaos,Odysseus,OrlandoBloom,Paris,PeterO'Toole,Priam,RoseByrne,SeanBean",Troy,Released,English,150000000.0,483152040.0,AU,2004,7.1
Life of Brian,1979-11-22,78.0,Comedy,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.","CarolCleveland,EricIdle,GrahamChapman,Gregory,Jesus,JohnCleese,KennethColley,ManEvenFurtherForward/Revolutionary/Jailer/BloodandThunderProphet/Frank/AudienceMember/Crucifee,MandyCohen/Colin/SimontheHolyMan/BobHoskins/SaintlyPasser-by/AlarmedCrucifixionAssistant,MichaelPalin,Mr.Cheeky/Stan'Loretta'/HarrytheHaggler/CulpritWoman/Warris/IntenselyDullYouth/Jailer'sAssistant/Otto/LeadSingerCrucifee,Mrs.Gregory,TerenceBayler,TerryGilliam,TerryJones,WiseMan#1/Reg/JewishOfficial/FirstCenturion/DeadlyDirk/Arthur,WiseMan#2/BrianCohen/BiggusDickus,WiseMan#3/Mr.BigNose/Francis/Mrs.A/Ex-Leper/Announcer/Ben/PontiusPilate/BoringProphet/Eddie/ShoeFollower/NisusWettus",Life of Brian,Released,English,4000000.0,20522496.0,AU,1979,7.8
Rambo: First Blood Part II,1985-10-03,66.0,"Action,Adventure,Thriller,War",John Rambo is released from prison by the government for a top-secret covert mission to the last place on Earth he'd want to return - the jungles of Vietnam.,"AndyWood,Banks,Capt.Vinh,CaptVinh,CharlesNapier,CoBao,Col.SamuelTrautman,Ericson,GeorgeCheung,JohnJ.Rambo,JuliaNickson,Lt.Col.Podovsky,MarshallMurdock,MartinKove,RichardCrenna,StevenBerkoff,SylvesterStallone,WilliamGhent",Rambo: First Blood Part II,Released,English,44000000.0,300400000.0,AU,1985,6.6
The Iron Giant,2000-04-06,79.0,"Family,Animation,Science Fiction,Drama","In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.","AnnieHughes(voice),ChristopherMcDonald,ClorisLeachman,DeanMcCoppin(voice),EarlStutz(voice),EliMarienthal,ForemanMarvLoach/FloydTurbeaux(voice),GeneralRogard(voice),HarryConnickJr.,HogarthHughes(voice),JamesGammon,JenniferAniston,JohnMahoney,KentMansley(voice),M.EmmetWalsh,Mrs.LynleyTensedge(voice),TheIronGiant(voice),VinDiesel",The Iron Giant,Released,English,50000000.0,31333917.0,AU,2000,7.9
Ready or Not,2019-10-24,71.0,"Comedy,Horror,Thriller",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,"AdamBrody,AlexLeDomas,AndieMacDowell,BeckyLeDomas,CharityLeDomas,DanielLeDomas,ElyseLevesque,EmilieLeDomas,FitchBradley,GraceLeDomas,HeleneLeDomas,HenryCzerny,KristianBruun,MarkO'Brien,MelanieScrofano,NickyGuadagni,SamaraWeaving,TonyLeDomas",Ready or Not,Released,English,6000000.0,56785851.0,AU,2019,7.1
Love & Other Drugs,2010-12-16,70.0,"Drama,Comedy,Romance","Maggie is an alluring free spirit who won't let anyone – or anything – tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serves him well with the ladies and the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.","AnneHathaway,BruceWinston,Cindy,Dr.JamesRandall,Dr.StanKnight,GabrielMacht,GeorgeSegal,HankAzaria,JakeGyllenhaal,JamieRandall,JillClayburgh,JoshGad,JoshRandall,JudyGreer,MaggieMurdock,NancyRandall,OliverPlatt,TreyHannigan",Love & Other Drugs,Released,English,30000000.0,102820008.0,AU,2010,7.0
Hotel Transylvania,2012-09-20,70.0,"Animation,Comedy,Family,Fantasy","Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!","AdamSandler,AndySamberg,CeeLoGreen,CountDracula(voice),DavidSpade,Eunice(voice),FranDrescher,Frankenstein(voice),Griffin(voice),JonathanLoughran(voice),KevinJames,MavisDracula(voice),MollyShannon,MurraytheMummy(voice),SelenaGomez,SteveBuscemi,Wanda(voice),Wayne(voice)",Hotel Transylvania,Released,English,85000000.0,378119469.0,AU,2012,7.0
Be My Slave,2012-11-03,57.0,"Drama,Romance,Comedy","Dan Mitsu stars as Kana, a female employee at a publishing company who strikes up a sexual relationship with a younger co-worker. He soon discovers that Kana's fetishes extend to sadomasochistic tendencies, involving a mysterious man only known as ""Sensei"". This discovery will push his relationship with Kana to a new, dangerous level that he may not be ready for.",",AsukaShingu,HiroakiMayama,IniKusano,ItsujiItao,Kana,KanjiFurutachi,KenKaito,Michié,MitsuDan,Nahana,Sensei", 私の奴隷になりなさい,Released,Japanese,104698000.0,531865785.2,JP,2012,5.7
Alice Through the Looking Glass,2016-05-26,66.0,"Adventure,Family,Fantasy",Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.,"AddisonBennett,AlanRickman,AliceKingsleigh,AndrewScott,AnneHathaway,BlueCaterpillar(voice),HelenaBonhamCarter,JohnnyDepp,MadHatter,MiaWasikowska,MichaelSheen,RedQueen,RhysIfans,SachaBaronCohen,Time,WhiteQueen,WhiteRabbit(voice),ZanikHightopp",Alice Through the Looking Glass,Released,English,170000000.0,276928112.0,AU,2016,6.6
The Passengers of the Night,2022-05-04,70.0,Drama,"Paris, 1981. The winds of change are blowing on election night and the French storm the streets, elated. But Élisabeth struggles to share the general mood of optimism. Her marriage is coming to an end and she will now have to support her family. She is distraught, and her father and teenage children are worried that her tears simply will not dry. But what if listening to her emotions could help her to start filling the blank page of her future? What if she were to write a letter on a whim to the host of her favourite radio programme? Or invite a homeless girl into her house? What would happen if she were to make the kind of gestures that actually change lives?",",CharlotteGainsbourg,DidierSandre,Elisabeth,EmmanuelleBéart,Hugo,Jean,LaurentPoitrenaux,Leïla,LilithGrasmug,ManuelAgostini,Matthias,NoéeAbita,OphéliaKolb,QuitoRayonRichter,Talulah,ThibaultVinçon,VandaDorval", Les Passagers de la nuit,Released,French,4300000.0,1512938.0,FR,2022,7.0
Barbie: A Fashion Fairytale,2010-09-14,72.0,"Family,Animation","Join Barbie in a colourful, modern-day fairytale filled with fashion, friends and fun! Barbie and her dog Sequin jet off to visit her Aunt's amazing fashion house in Paris, and much to her surprise it's about to be shut down forever. After she discovers three enchanting Flairies with sparkle-magic powers, Barbie comes up with a brilliant idea to save the business. She even inspires Alice, a shy fashion designer, and together they create a dazzling runway fashion show. Barbie shows that magic happens when you believe in yourself.","AdrianPetriw,AlexaDevine,AuntMillicent(voice),BarbieRoberts(voice),BrittneyIrvin,Delphine(voice),DianaKaarina,Grace(voice),Jacqueline(voice),KandyseMcClure,KenCarson(voice),Marie-Alecia'Alice'(voice),MarykeHendrikse,PatriciaDrake,Raquelle(voice),ShannonChan-Kent,TabithaSt.Germain,Teresa/Incidental(voice)",Barbie: A Fashion Fairytale,Released,English,139000000.0,306818621.4,US,2010,7.2
Lady and the Tramp,1956-02-22,71.0,"Family,Animation,Romance","Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while.","AlanReed,AuntSarah(voice),BarbaraLuddy,Beaver(voice),BillBaucom,BillThompson,Boris(voice),Darling/Si/Am/Peg(voice),GeorgeGivot,Jock/Bull/PolicemanatZoo/Dachsie/Joe(voice),Lady(voice),LarryRoberts,PeggyLee,StanFreberg,Tony(voice),Tramp(voice),Trusty(voice),VernaFelton",Lady and the Tramp,Released,English,60000000.0,0.0,AU,1956,7.1
Descendants 3,2019-08-02,78.0,"Family,TV Movie,Music,Adventure,Fantasy",The teenagers of Disney's most infamous villains return to the Isle of the Lost to recruit a new batch of villainous offspring to join them at Auradon Prep.,"Audrey,Ben,BoobooStewart,BrennaD'Amico,CameronBoyce,CarlosdeVil,CheyenneJackson,ChinaAnneMcClain,DoveCameron,Evie,Hades,Jane,Jay,Mal,MitchellHope,SarahJeffery,SofiaCarson,Uma",Descendants 3,Released,English,15000000.0,199354366.4,US,2019,7.8
Jupiter Ascending,2015-02-19,54.0,"Science Fiction,Fantasy,Action","In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…","Aleksa,BalemAbrasax,CaineWise,ChanningTatum,ChicaneryNight,DiomikaTsing,DouglasBooth,EddieRedmayne,EdwardHogg,JupiterJones,KaliqueAbrasax,MariaDoyleKennedy,MilaKunis,NikkiAmuka-Bird,SeanBean,StingerApini,TitusAbrasax,TuppenceMiddleton",Jupiter Ascending,Released,English,179000000.0,181982519.0,AU,2015,5.4
Sleeping Beauty,1959-12-23,69.0,"Fantasy,Animation,Romance,Family","A beautiful princess born in a faraway kingdom is destined by a terrible curse to prick her finger on the spindle of a spinning wheel and fall into a deep sleep that can only be awakened by true love's first kiss. Determined to protect her, her parents ask three fairies to raise her in hiding. But the evil Maleficent is just as determined to seal the princess's fate.","BarbaraJoAllen,BarbaraLuddy,BillShirley,BillThompson,EleanorAudley,Fauna(voice),Flora/QueenLeah(voice),KingHubert(voice),KingStefan(voice),Maleficent(voice),MarvinMiller,MaryCosta,Merryweather(voice),Narrator(voice)(uncredited),PrincePhillip(voice),PrincessAurora(voice),TaylorHolmes,VernaFelton",Sleeping Beauty,Released,English,6000000.0,51600000.0,AU,1959,6.9
Django Unchained,2013-01-23,82.0,"Drama,Western","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","BillyCrash,BroomhildavonShaft,ButchPooch/AceSpeck,CalvinJ.Candie,ChristophWaltz,DavidSteen,DennisChristopher,DjangoFreeman,Dr.KingSchultz,JamesRemar,JamieFoxx,KerryWashington,LeonardoDiCaprio,LeonideMoguy,Mr.Stonesipher,SamuelL.Jackson,Stephen,WaltonGoggins",Django Unchained,Released,English,100000000.0,449841566.0,AU,2013,8.2
300: Rise of an Empire,2014-03-06,61.0,"Action,Drama,War","Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.","AndrewTiernan,Artemisia,AshrafBarhom,Calisto,CallanMulvey,DavidWenham,Dillios,Ephialtes,EvaGreen,GeneralBandari,JackO'Connell,LenaHeadey,QueenGorgo,RodrigoSantoro,Scylias,SullivanStapleton,Themistocles,Xerxes",300: Rise of an Empire,Released,English,110000000.0,330780051.0,AU,2014,6.1
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-02,64.0,"Adventure,Family,Fantasy","This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.","AnnaPopplewell,Aslan(voice),BenBarnes,Caspian,EdmundPrevensie,EustaceScrubb,GeorgieHenley,LiamNeeson,LucyPevensie,PeterPevensie,Reepicheep(Voice),SimonPegg,SkandarKeynes,SusanPevensie,TheWhiteWitch,TildaSwinton,WillPoulter,WilliamMoseley",The Chronicles of Narnia: The Voyage of the Dawn Treader,Released,English,155000000.0,415686217.0,AU,2010,6.4
Child's Play,1988-11-09,67.0,Horror,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed by the soul of a serial killer.","AlexVincent,AndyBarclay,BradDourif,CatherineHicks,ChrisSarandon,Chucky(voice)/CharlesLeeRay,DinahManoff,Dr.Ardmore,EddieCaputo,JackColvin,JackSantos,JuanRamírez,KarenBarclay,MaggiePeterson,MikeNorris,NeilGiuntoli,Peddler,TommySwerdlow",Child's Play,Released,English,9000000.0,44196684.0,US,1988,6.7
Princess Principal Crown Handler: Chapter 2,2021-09-23,73.0,"Animation,Action,Adventure,Drama,Mystery",The second out of six movie sequels to the TV series.,"7(voice),AkariKageyama,AkiraSekine,Ange(voice),AoiKoga,Beatrice(voice),Chise(voice),Colonel(voice),Dollyshop(voice),Dorothy(voice),HiroyukiHonda,L(voice),MiyukiSawashiro,NozomiFuruki,Princess(voice),TakayukiSugo,TakumiYamazaki,YouTaichi", プリンセス・プリンシパル Crown Handler 第2章,Released,Japanese,109000000.0,692214960.4,JP,2021,7.3
Blue Beetle,2023-08-18,0.0,"Action,Science Fiction",Jaime Reyes acquires a mysterious scarab that binds to his spine and provides him with a powerful suit of blue alien armor.,",AdrianaBarraza,AlbertoReyes,BelissaEscobedo,BrunaMarquezine,DamiánAlcázar,ElpidiaCarrillo,GeorgeLopez,HarveyGuillén,JaimeReyes/BlueBeetle,MilagrosReyes,NanaReyes,Penny,RocioReyes,SusanSarandon,UncleRudyReyes,VictoriaKord,XoloMariduena",Blue Beetle,In Production,English,70000000.0,1240261.6,US,2023,0.0
